"日付","合計（円）","預金・現金・暗号資産（円）","投資信託（円）","ポイント（円）"
"2026/03/04","57907404","14530765","43369963","6676"
"2026/03/03","57862789","14530765","43332024","0"
"2026/03/02","57862789","14530765","43332024","0"
"2026/03/01","57862789","14530765","43332024","0"
"2026/02/28","57443475","14682084","42761391","0"
"2026/02/27","57353275","14591884","42761391","0"
"2026/02/26","56895179","14133788","42761391","0"
"2026/02/25","56859848","14043981","42815867","0"
"2026/02/24","56858680","14042813","42815867","0"
"2026/02/23","56858680","14042813","42815867","0"
"2026/02/22","56521586","14042813","42478773","0"
"2026/02/21","56521586","14042813","42478773","0"
"2026/02/20","56193296","14018170","42175126","0"
"2026/02/19","56184923","14018170","42166753","0"
"2026/02/18","56184923","14018170","42166753","0"
"2026/02/17","56056219","13983952","42072267","0"
"2026/02/16","56000492","13983952","42016540","0"
"2026/02/15","56000492","13983952","42016540","0"
"2026/02/14","56437306","13738950","42698356","0"
"2026/02/13","57120820","13639816","43481004","0"
"2026/02/12","54993503","11512499","43481004","0"
"2026/02/11","54993503","11512499","43481004","0"
"2026/02/10","34039173","11509067","22530106","0"
"2026/02/09","34039173","11509067","22530106","0"
"2026/02/08","34235178","11509067","22726111","0"
"2026/02/07","34235083","11508972","22726111","0"
"2026/02/06","34235083","11508972","22726111","0"
"2026/02/05","11716778","11716778","0","0"
"2026/02/04","11716778","11716778","0","0"
"2026/02/03","11716778","11716778","0","0"
"2026/02/02","11716778","11716778","0","0"
"2026/02/01","11716778","11716778","0","0"
